max_solve_time,el0ps+_solve_time,el0ps_solve_time,l0bnb_solve_time,cplex_solve_time,gurobi_solve_time,mosek_solve_time,max_solve_time,objective_value,datafit_value,normalized_datafit_value,n_nnz
3600.0,0.023056626319885254,0.0320432186126709,,,,6.788789987564087,3600.0,0.6931471805599446,0.6931471805599446,1,0.0
3600.0,0.4348031282424927,31.40071392059326,,,,3600.0,3600.0,0.6771053167515235,0.12133837552157992,0.17505427,1.0
3600.0,4.024697542190552,126.43435764312744,,,,,3600.0,0.26351329757573,0.06875801183838598,0.09919684,2.0
3600.0,21.071186542510986,570.8045148849487,,,,,3600.0,0.17948427259642202,0.046171329852237625,0.06661115,3.0
3600.0,52.7253155708313,1355.512799024582,,,,,3600.0,0.14829012797847702,0.034156238286984754,0.04927704,4.0
3600.0,138.59145963191986,3084.480716943741,,,,,3600.0,0.122589607467871,0.027242289968600956,0.03930232,5.0
3600.0,335.5849058628082,3600.0,,,,,3600.0,0.10656721788805548,0.02291998133214686,0.03306654,6.0
3600.0,750.3522552251816,,,,,,3600.0,0.09280290197628195,0.02067873851256325,0.02983311,7.0
3600.0,1143.8283913135529,,,,,,3600.0,0.08459157899038466,0.018591020142684905,0.02682117,8.0
3600.0,1357.195207118988,,,,,,3600.0,0.0807473309763858,0.016708673336565862,0.02410552,9.0
3600.0,1765.488630414009,,,,,,3600.0,0.07357742489734945,0.015349413406516303,0.02214452,10.0
3600.0,3600.0,,,,,,3600.0,,,,11.0
